Symbol,Name,Currency,Last Price,ADT (Value),Turnover Rate %,Market Cap,Exchange,Board
IN00311.US,"Apparel, Accessories and Luxury Goods",USD,833.422,2238827218.7673335,0.0,0.0,,SecurityBoard.USSector
SMH.US,VanEck Semiconductor ETF,USD,385.02,2214382465.5,6.518375502497355,36381261327.479996,NASD,SecurityBoard.Unknown
IN00360.US,Multi-Utilities,USD,1353.643,2183825837.098,0.0,0.0,,SecurityBoard.USSector
IN00328.US,Other Specialty Retail,USD,1662.75,2166339127.199,0.0,0.0,,SecurityBoard.USSector
V.US,Visa Inc.,USD,355.88,2161623193.799333,0.33065431210681007,680527101073.4,NYSE,SecurityBoard.Unknown
IN00349.US,Construction Materials,USD,2070.11,2161195540.955,0.0,0.0,,SecurityBoard.USSector
UNH.US,UnitedHealth Group Incorporated,USD,341.7,2128631545.1653,0.7076046871719085,309525056454.0,NYSE,SecurityBoard.Unknown
IN00289.US,Homebuilding,USD,1704.249,2126252759.0723333,0.0,0.0,,SecurityBoard.USSector
CRWV.US,"CoreWeave, Inc.",USD,77.18,2120779682.7666667,5.479466540066794,38460145576.16,NASD,SecurityBoard.Unknown
COIN.US,"Coinbase Global, Inc.",USD,245.93,2085627837.0268,3.0295576226525536,66316897011.020004,NASD,SecurityBoard.Unknown
CVNA.US,Carvana Co.,USD,450.78,2058551599.2333333,2.185849653227868,98063882077.92,NYSE,SecurityBoard.Unknown
GEV.US,GE Vernova Inc.,USD,662.32,2045350745.1333334,1.1550848069293587,179700966404.88,NYSE,SecurityBoard.Unknown
CRM.US,"Salesforce, Inc.",USD,266.12,2014587642.4666667,0.8519894130202774,249354440000.0,NYSE,SecurityBoard.Unknown
IN00257.US,Footwear,USD,638.61,2008871511.6433332,0.0,0.0,,SecurityBoard.USSector
BAC.US,Bank of America Corporation,USD,55.64,1977481549.3806665,0.4964831796439781,406310852402.0,NYSE,SecurityBoard.Unknown
IN00321.US,Passenger Ground Transportation,USD,1554.483,1968461184.6143334,0.0,0.0,,SecurityBoard.USSector
XLF.US,The Financial Select Sector SPDR® ETF,USD,55.61,1965887815.8333333,3.706210822395307,54219495695.47,AMEX,SecurityBoard.Unknown
